user	User
chat	Chat
chatfullinfo	ChatFullInfo
message	Message
messageid	MessageId
inaccessiblemessage	InaccessibleMessage
maybeinaccessiblemessage	MaybeInaccessibleMessage
messageentity	MessageEntity
textquote	TextQuote
externalreplyinfo	ExternalReplyInfo
replyparameters	ReplyParameters
messageorigin	MessageOrigin
messageoriginuser	MessageOriginUser
messageoriginhiddenuser	MessageOriginHiddenUser
messageoriginchat	MessageOriginChat
messageoriginchannel	MessageOriginChannel
photosize	PhotoSize
animation	Animation
audio	Audio
document	Document
story	Story
video	Video
videonote	VideoNote
voice	Voice
paidmediainfo	PaidMediaInfo
paidmedia	PaidMedia
paidmediapreview	PaidMediaPreview
paidmediaphoto	PaidMediaPhoto
paidmediavideo	PaidMediaVideo
contact	Contact
dice	Dice
polloption	PollOption
inputpolloption	InputPollOption
pollanswer	PollAnswer
poll	Poll
checklisttask	ChecklistTask
checklist	Checklist
inputchecklisttask	InputChecklistTask
inputchecklist	InputChecklist
checklisttasksdone	ChecklistTasksDone
checklisttasksadded	ChecklistTasksAdded
location	Location
venue	Venue
webappdata	WebAppData
proximityalerttriggered	ProximityAlertTriggered
messageautodeletetimerchanged	MessageAutoDeleteTimerChanged
chatboostadded	ChatBoostAdded
backgroundfill	BackgroundFill
backgroundfillsolid	BackgroundFillSolid
backgroundfillgradient	BackgroundFillGradient
backgroundfillfreeformgradient	BackgroundFillFreeformGradient
backgroundtype	BackgroundType
backgroundtypefill	BackgroundTypeFill
backgroundtypewallpaper	BackgroundTypeWallpaper
backgroundtypepattern	BackgroundTypePattern
backgroundtypechattheme	BackgroundTypeChatTheme
chatbackground	ChatBackground
forumtopiccreated	ForumTopicCreated
forumtopicclosed	ForumTopicClosed
forumtopicedited	ForumTopicEdited
forumtopicreopened	ForumTopicReopened
generalforumtopichidden	GeneralForumTopicHidden
generalforumtopicunhidden	GeneralForumTopicUnhidden
shareduser	SharedUser
usersshared	UsersShared
chatshared	ChatShared
writeaccessallowed	WriteAccessAllowed
videochatscheduled	VideoChatScheduled
videochatstarted	VideoChatStarted
videochatended	VideoChatEnded
videochatparticipantsinvited	VideoChatParticipantsInvited
paidmessagepricechanged	PaidMessagePriceChanged
directmessagepricechanged	DirectMessagePriceChanged
suggestedpostapproved	SuggestedPostApproved
suggestedpostapprovalfailed	SuggestedPostApprovalFailed
suggestedpostdeclined	SuggestedPostDeclined
suggestedpostpaid	SuggestedPostPaid
suggestedpostrefunded	SuggestedPostRefunded
giveawaycreated	GiveawayCreated
giveaway	Giveaway
giveawaywinners	GiveawayWinners
giveawaycompleted	GiveawayCompleted
linkpreviewoptions	LinkPreviewOptions
suggestedpostprice	SuggestedPostPrice
suggestedpostinfo	SuggestedPostInfo
suggestedpostparameters	SuggestedPostParameters
directmessagestopic	DirectMessagesTopic
userprofilephotos	UserProfilePhotos
file	File
webappinfo	WebAppInfo
replykeyboardmarkup	ReplyKeyboardMarkup
keyboardbutton	KeyboardButton
keyboardbuttonrequestusers	KeyboardButtonRequestUsers
keyboardbuttonrequestchat	KeyboardButtonRequestChat
keyboardbuttonpolltype	KeyboardButtonPollType
replykeyboardremove	ReplyKeyboardRemove
inlinekeyboardmarkup	InlineKeyboardMarkup
inlinekeyboardbutton	InlineKeyboardButton
loginurl	LoginUrl
